v8-version,6,8,275,32,-node.52,0
code-creation,Builtin,3,2090,0x15f333989d60,201,DeserializeLazy
code-creation,Builtin,3,2094,0x15f333992760,163,InstantiateAsmJs
code-creation,Builtin,3,2097,0x15f333992860,47,NotifyDeoptimized
code-creation,Builtin,3,2100,0x15f3339928e0,37,ContinueToCodeStubBuiltin
code-creation,Builtin,3,2104,0x15f333992960,45,ContinueToCodeStubBuiltinWithResult
code-creation,Builtin,3,2108,0x15f3339929e0,41,ContinueToJavaScriptBuiltin
code-creation,Builtin,3,2111,0x15f333992a60,49,ContinueToJavaScriptBuiltinWithResult
code-creation,Builtin,3,2115,0x15f333992ae0,70,OnStackReplacement
code-creation,Builtin,3,2119,0x15f333992b80,15,HandleApiCall
code-creation,Builtin,3,2122,0x15f333992be0,15,HandleApiCallAsFunction
code-creation,Builtin,3,2126,0x15f333992c40,15,HandleApiCallAsConstructor
code-creation,Builtin,3,2129,0x15f333992ca0,29,AllocateInNewSpace
code-creation,Builtin,3,2133,0x15f333992d00,36,AllocateInOldSpace
code-creation,Builtin,3,2136,0x15f333992d80,835,CopyFastSmiOrObjectElements
code-creation,Builtin,3,2140,0x15f333993120,544,GrowFastDoubleElements
code-creation,Builtin,3,2144,0x15f333993380,500,GrowFastSmiOrObjectElements
code-creation,Builtin,3,2147,0x15f3339935c0,363,NewArgumentsElements
code-creation,Builtin,3,2152,0x15f333993780,464,DebugBreakTrampoline
code-creation,Builtin,3,2155,0x15f3339939a0,130,FrameDropperTrampoline
code-creation,Builtin,3,2159,0x15f333993a80,63,HandleDebuggerStatement
code-creation,Builtin,3,2164,0x15f333993b00,402,ToObject
code-creation,Builtin,3,2167,0x15f333993ce0,151,ToBoolean
code-creation,Builtin,3,2172,0x15f333993dc0,283,OrdinaryToPrimitive_Number
code-creation,Builtin,3,2176,0x15f333993f20,283,OrdinaryToPrimitive_String
code-creation,Builtin,3,2179,0x15f333994080,229,NonPrimitiveToPrimitive_Default
code-creation,Builtin,3,2183,0x15f3339941c0,229,NonPrimitiveToPrimitive_Number
code-creation,Builtin,3,2187,0x15f333994300,229,NonPrimitiveToPrimitive_String
code-creation,Builtin,3,2191,0x15f333994440,95,StringToNumber
code-creation,Builtin,3,2194,0x15f3339944e0,103,ToName
code-creation,Builtin,3,2198,0x15f3339945a0,317,NonNumberToNumber
code-creation,Builtin,3,2201,0x15f333994720,325,NonNumberToNumeric
code-creation,Builtin,3,2205,0x15f3339948c0,269,ToNumber
code-creation,Builtin,3,2208,0x15f333994a20,357,ToNumeric
code-creation,Builtin,3,2211,0x15f333994be0,219,NumberToString
code-creation,Builtin,3,2215,0x15f333994d00,303,ToString
code-creation,Builtin,3,2218,0x15f333994e80,482,ToInteger
code-creation,Builtin,3,2221,0x15f3339950c0,498,ToInteger_TruncateMinusZero
code-creation,Builtin,3,2225,0x15f333995300,538,ToLength
code-creation,Builtin,3,2230,0x15f333995560,156,Typeof
code-creation,Builtin,3,2234,0x15f333995640,75,GetSuperConstructor
code-creation,Builtin,3,2237,0x15f3339956e0,163,ToBooleanLazyDeoptContinuation
code-creation,Builtin,3,2248,0x15f3339957e0,9980,KeyedLoadIC_Megamorphic
code-creation,Builtin,3,2252,0x15f333997f20,2559,KeyedLoadIC_PolymorphicName
code-creation,Builtin,3,2256,0x15f333998960,40,KeyedLoadIC_Slow
code-creation,Builtin,3,2273,0x15f3339989e0,15756,KeyedStoreIC_Megamorphic
code-creation,Builtin,3,2277,0x15f33399c7c0,44,KeyedStoreIC_Slow
code-creation,Builtin,3,2281,0x15f33399c840,40,LoadGlobalIC_Slow
code-creation,Builtin,3,2284,0x15f33399c8c0,92,LoadIC_FunctionPrototype
code-creation,Builtin,3,2288,0x15f33399c960,40,LoadIC_Slow
code-creation,Builtin,3,2291,0x15f33399c9e0,16,LoadIC_StringLength
code-creation,Builtin,3,2294,0x15f33399ca40,20,LoadIC_StringWrapperLength
code-creation,Builtin,3,2298,0x15f33399caa0,3040,LoadIC_Uninitialized
code-creation,Builtin,3,2302,0x15f33399d6c0,44,StoreGlobalIC_Slow
code-creation,Builtin,3,2310,0x15f33399d740,6672,StoreIC_Uninitialized
code-creation,Builtin,3,2313,0x15f33399f1a0,40,StoreInArrayLiteralIC_Slow
code-creation,Builtin,3,2317,0x15f33399f220,1076,EnqueueMicrotask
code-creation,Builtin,3,2322,0x15f33399f6a0,1432,RunMicrotasks
code-creation,Builtin,3,2325,0x15f33399fc80,2388,HasProperty
code-creation,Builtin,3,2329,0x15f3339a0620,1036,DeleteProperty
code-creation,Builtin,3,2332,0x15f3339a0a80,25,Abort
code-creation,Builtin,3,2335,0x15f3339a0ae0,40,AbortJS
code-creation,Builtin,3,2338,0x15f3339a0b60,15,EmptyFunction
code-creation,Builtin,3,2343,0x15f3339a0bc0,15,Illegal
code-creation,Builtin,3,2346,0x15f3339a0c20,15,StrictPoisonPillThrower
code-creation,Builtin,3,2350,0x15f3339a0c80,15,UnsupportedThrower
code-creation,Builtin,3,2353,0x15f3339a0ce0,21,ArrayConstructor
code-creation,Builtin,3,2357,0x15f3339a0d40,9,InternalArrayConstructor
code-creation,Builtin,3,2360,0x15f3339a0da0,15,ArrayConcat
code-creation,Builtin,3,2365,0x15f3339a0e00,948,ArrayIncludesSmiOrObject
code-creation,Builtin,3,2369,0x15f3339a1200,120,ArrayIncludesPackedDoubles
code-creation,Builtin,3,2372,0x15f3339a12c0,180,ArrayIncludesHoleyDoubles
code-creation,Builtin,3,2376,0x15f3339a13c0,868,ArrayIndexOfSmiOrObject
code-creation,Builtin,3,2379,0x15f3339a1780,104,ArrayIndexOfPackedDoubles
code-creation,Builtin,3,2383,0x15f3339a1840,104,ArrayIndexOfHoleyDoubles
code-creation,Builtin,3,2387,0x15f3339a1900,15,ArrayPop
code-creation,Builtin,3,2390,0x15f3339a1960,15,ArrayPush
code-creation,Builtin,3,2393,0x15f3339a19c0,15,ArrayShift
code-creation,Builtin,3,2397,0x15f3339a1a20,15,ArraySplice
code-creation,Builtin,3,2400,0x15f3339a1a80,15,ArrayUnshift
code-creation,Builtin,3,2404,0x15f3339a1ae0,1456,CloneFastJSArray
code-creation,Builtin,3,2408,0x15f3339a20e0,1478,ExtractFastJSArray
code-creation,Builtin,3,2417,0x15f3339a2700,3044,ArrayEveryLoopContinuation
code-creation,Builtin,3,2421,0x15f3339a3340,142,ArrayEveryLoopEagerDeoptContinuation
code-creation,Builtin,3,2425,0x15f3339a3420,500,ArrayEveryLoopLazyDeoptContinuation
code-creation,Builtin,3,2430,0x15f3339a3660,3032,ArraySomeLoopContinuation
code-creation,Builtin,3,2434,0x15f3339a4280,142,ArraySomeLoopEagerDeoptContinuation
code-creation,Builtin,3,2438,0x15f3339a4360,496,ArraySomeLoopLazyDeoptContinuation
code-creation,Builtin,3,2446,0x15f3339a45a0,5120,ArrayFilterLoopContinuation
code-creation,Builtin,3,2450,0x15f3339a59e0,142,ArrayFilterLoopEagerDeoptContinuation
code-creation,Builtin,3,2454,0x15f3339a5ac0,774,ArrayFilterLoopLazyDeoptContinuation
code-creation,Builtin,3,2458,0x15f3339a5e20,2924,ArrayMapLoopContinuation
code-creation,Builtin,3,2462,0x15f3339a69e0,142,ArrayMapLoopEagerDeoptContinuation
code-creation,Builtin,3,2466,0x15f3339a6ac0,384,ArrayMapLoopLazyDeoptContinuation
code-creation,Builtin,3,2470,0x15f3339a6c80,2960,ArrayReduceLoopContinuation
code-creation,Builtin,3,2474,0x15f3339a7860,138,ArrayReducePreLoopEagerDeoptContinuation
code-creation,Builtin,3,2478,0x15f3339a7940,142,ArrayReduceLoopEagerDeoptContinuation
code-creation,Builtin,3,2482,0x15f3339a7a20,142,ArrayReduceLoopLazyDeoptContinuation
code-creation,Builtin,3,2489,0x15f3339a7b00,2952,ArrayReduceRightLoopContinuation
code-creation,Builtin,3,2493,0x15f3339a86e0,154,ArrayReduceRightPreLoopEagerDeoptContinuation
code-creation,Builtin,3,2497,0x15f3339a87c0,142,ArrayReduceRightLoopEagerDeoptContinuation
code-creation,Builtin,3,2506,0x15f3339a88a0,142,ArrayReduceRightLoopLazyDeoptContinuation
code-creation,Builtin,3,2510,0x15f3339a8980,632,ArrayFindLoopContinuation
code-creation,Builtin,3,2514,0x15f3339a8c40,142,ArrayFindLoopEagerDeoptContinuation
code-creation,Builtin,3,2518,0x15f3339a8d20,142,ArrayFindLoopLazyDeoptContinuation
code-creation,Builtin,3,2522,0x15f3339a8e00,305,ArrayFindLoopAfterCallbackLazyDeoptContinuation
code-creation,Builtin,3,2526,0x15f3339a8f80,624,ArrayFindIndexLoopContinuation
code-creation,Builtin,3,2530,0x15f3339a9240,150,ArrayFindIndexLoopEagerDeoptContinuation
code-creation,Builtin,3,2534,0x15f3339a9320,150,ArrayFindIndexLoopLazyDeoptContinuation
code-creation,Builtin,3,2538,0x15f3339a9400,309,ArrayFindIndexLoopAfterCallbackLazyDeoptContinuation
code-creation,Builtin,3,2543,0x15f3339a9580,4108,FlattenIntoArray
code-creation,Builtin,3,2548,0x15f3339aa5e0,4148,FlatMapIntoArray
code-creation,Builtin,3,2806,0x15f3339ab660,15,ArrayBufferConstructor
code-creation,Builtin,3,2813,0x15f3339ab6c0,15,ArrayBufferConstructor_DoNotInitialize
code-creation,Builtin,3,2823,0x15f3339ab720,15,ArrayBufferPrototypeGetByteLength
code-creation,Builtin,3,2830,0x15f3339ab780,15,ArrayBufferIsView
code-creation,Builtin,3,2838,0x15f3339ab7e0,15,ArrayBufferPrototypeSlice
code-creation,Builtin,3,2844,0x15f3339ab840,15,BigIntConstructor
code-creation,Builtin,3,2849,0x15f3339ab8a0,15,BigIntAsUintN
code-creation,Builtin,3,2853,0x15f3339ab900,15,BigIntAsIntN
code-creation,Builtin,3,2858,0x15f3339ab960,15,BigIntPrototypeToLocaleString
code-creation,Builtin,3,2863,0x15f3339ab9c0,15,BigIntPrototypeToString
code-creation,Builtin,3,2868,0x15f3339aba20,15,BigIntPrototypeValueOf
code-creation,Builtin,3,2874,0x15f3339aba80,15,BooleanConstructor
code-creation,Builtin,3,2879,0x15f3339abae0,15,CallSitePrototypeGetColumnNumber
code-creation,Builtin,3,2885,0x15f3339abb40,15,CallSitePrototypeGetEvalOrigin
code-creation,Builtin,3,2890,0x15f3339abba0,15,CallSitePrototypeGetFileName
code-creation,Builtin,3,2897,0x15f3339abc00,15,CallSitePrototypeGetFunction
code-creation,Builtin,3,2903,0x15f3339abc60,15,CallSitePrototypeGetFunctionName
code-creation,Builtin,3,2909,0x15f3339abcc0,15,CallSitePrototypeGetLineNumber
code-creation,Builtin,3,2914,0x15f3339abd20,15,CallSitePrototypeGetMethodName
code-creation,Builtin,3,2922,0x15f3339abd80,15,CallSitePrototypeGetPosition
code-creation,Builtin,3,2932,0x15f3339abde0,15,CallSitePrototypeGetScriptNameOrSourceURL
code-creation,Builtin,3,2938,0x15f3339abe40,15,CallSitePrototypeGetThis
code-creation,Builtin,3,2946,0x15f3339abea0,15,CallSitePrototypeGetTypeName
code-creation,Builtin,3,2953,0x15f3339abf00,15,CallSitePrototypeIsConstructor
code-creation,Builtin,3,2961,0x15f3339abf60,15,CallSitePrototypeIsEval
code-creation,Builtin,3,2969,0x15f3339abfc0,15,CallSitePrototypeIsNative
code-creation,Builtin,3,2975,0x15f3339ac020,15,CallSitePrototypeIsToplevel
code-creation,Builtin,3,2981,0x15f3339ac080,15,CallSitePrototypeToString
code-creation,Builtin,3,2991,0x15f3339ac0e0,15,ConsoleDebug
code-creation,Builtin,3,2996,0x15f3339ac140,15,ConsoleError
code-creation,Builtin,3,3005,0x15f3339ac1a0,15,ConsoleInfo
code-creation,Builtin,3,3010,0x15f3339ac200,15,ConsoleLog
code-creation,Builtin,3,3016,0x15f3339ac260,15,ConsoleWarn
code-creation,Builtin,3,3029,0x15f3339ac2c0,15,ConsoleDir
code-creation,Builtin,3,3037,0x15f3339ac320,15,ConsoleDirXml
code-creation,Builtin,3,3048,0x15f3339ac380,15,ConsoleTable
code-creation,Builtin,3,3053,0x15f3339ac3e0,15,ConsoleTrace
code-creation,Builtin,3,3058,0x15f3339ac440,15,ConsoleGroup
code-creation,Builtin,3,3063,0x15f3339ac4a0,15,ConsoleGroupCollapsed
code-creation,Builtin,3,3067,0x15f3339ac500,15,ConsoleGroupEnd
code-creation,Builtin,3,3072,0x15f3339ac560,15,ConsoleClear
code-creation,Builtin,3,3082,0x15f3339ac5c0,15,ConsoleCount
code-creation,Builtin,3,3087,0x15f3339ac620,15,ConsoleCountReset
code-creation,Builtin,3,3096,0x15f3339ac680,15,ConsoleAssert
code-creation,Builtin,3,3102,0x15f3339ac6e0,15,ConsoleMarkTimeline
code-creation,Builtin,3,3109,0x15f3339ac740,15,ConsoleProfile
code-creation,Builtin,3,3116,0x15f3339ac7a0,15,ConsoleProfileEnd
code-creation,Builtin,3,3124,0x15f3339ac800,15,ConsoleTimeline
code-creation,Builtin,3,3133,0x15f3339ac860,15,ConsoleTimelineEnd
code-creation,Builtin,3,3138,0x15f3339ac8c0,15,ConsoleTime
code-creation,Builtin,3,3143,0x15f3339ac920,15,ConsoleTimeEnd
code-creation,Builtin,3,3150,0x15f3339ac980,15,ConsoleTimeStamp
code-creation,Builtin,3,3159,0x15f3339ac9e0,15,ConsoleContext
code-creation,Builtin,3,3164,0x15f3339aca40,15,DataViewConstructor
code-creation,Builtin,3,3171,0x15f3339acaa0,15,DataViewPrototypeGetBuffer
code-creation,Builtin,3,3179,0x15f3339acb00,15,DataViewPrototypeGetByteLength
code-creation,Builtin,3,3187,0x15f3339acb60,15,DataViewPrototypeGetByteOffset
code-creation,Builtin,3,3195,0x15f3339acbc0,15,DataViewPrototypeGetInt8
code-creation,Builtin,3,3205,0x15f3339acc20,15,DataViewPrototypeSetInt8
code-creation,Builtin,3,3212,0x15f3339acc80,15,DataViewPrototypeGetUint8
code-creation,Builtin,3,3219,0x15f3339acce0,15,DataViewPrototypeSetUint8
code-creation,Builtin,3,3227,0x15f3339acd40,15,DataViewPrototypeGetInt16
code-creation,Builtin,3,3237,0x15f3339acda0,15,DataViewPrototypeSetInt16
code-creation,Builtin,3,3243,0x15f3339ace00,15,DataViewPrototypeGetUint16
code-creation,Builtin,3,3250,0x15f3339ace60,15,DataViewPrototypeSetUint16
code-creation,Builtin,3,3260,0x15f3339acec0,15,DataViewPrototypeGetInt32
code-creation,Builtin,3,3267,0x15f3339acf20,15,DataViewPrototypeSetInt32
code-creation,Builtin,3,3275,0x15f3339acf80,15,DataViewPrototypeGetUint32
code-creation,Builtin,3,3283,0x15f3339acfe0,15,DataViewPrototypeSetUint32
code-creation,Builtin,3,3290,0x15f3339ad040,15,DataViewPrototypeGetFloat32
code-creation,Builtin,3,3297,0x15f3339ad0a0,15,DataViewPrototypeSetFloat32
code-creation,Builtin,3,3304,0x15f3339ad100,15,DataViewPrototypeGetFloat64
code-creation,Builtin,3,3311,0x15f3339ad160,15,DataViewPrototypeSetFloat64
code-creation,Builtin,3,3322,0x15f3339ad1c0,15,DataViewPrototypeGetBigInt64
code-creation,Builtin,3,3332,0x15f3339ad220,15,DataViewPrototypeSetBigInt64
code-creation,Builtin,3,3338,0x15f3339ad280,15,DataViewPrototypeGetBigUint64
code-creation,Builtin,3,3346,0x15f3339ad2e0,15,DataViewPrototypeSetBigUint64
code-creation,Builtin,3,3355,0x15f3339ad340,15,DateConstructor
code-creation,Builtin,3,3363,0x15f3339ad3a0,15,DatePrototypeGetYear
code-creation,Builtin,3,3370,0x15f3339ad400,15,DatePrototypeSetYear
code-creation,Builtin,3,3377,0x15f3339ad460,15,DateNow
code-creation,Builtin,3,3383,0x15f3339ad4c0,15,DateParse
code-creation,Builtin,3,3391,0x15f3339ad520,15,DatePrototypeSetDate
code-creation,Builtin,3,3397,0x15f3339ad580,15,DatePrototypeSetFullYear
code-creation,Builtin,3,3403,0x15f3339ad5e0,15,DatePrototypeSetHours
code-creation,Builtin,3,3411,0x15f3339ad640,15,DatePrototypeSetMilliseconds
code-creation,Builtin,3,3422,0x15f3339ad6a0,15,DatePrototypeSetMinutes
code-creation,Builtin,3,3429,0x15f3339ad700,15,DatePrototypeSetMonth
code-creation,Builtin,3,3438,0x15f3339ad760,15,DatePrototypeSetSeconds
code-creation,Builtin,3,3447,0x15f3339ad7c0,15,DatePrototypeSetTime
code-creation,Builtin,3,3456,0x15f3339ad820,15,DatePrototypeSetUTCDate
code-creation,Builtin,3,3461,0x15f3339ad880,15,DatePrototypeSetUTCFullYear
code-creation,Builtin,3,3467,0x15f3339ad8e0,15,DatePrototypeSetUTCHours
code-creation,Builtin,3,3475,0x15f3339ad940,15,DatePrototypeSetUTCMilliseconds
code-creation,Builtin,3,3485,0x15f3339ad9a0,15,DatePrototypeSetUTCMinutes
code-creation,Builtin,3,3492,0x15f3339ada00,15,DatePrototypeSetUTCMonth
code-creation,Builtin,3,3500,0x15f3339ada60,15,DatePrototypeSetUTCSeconds
